"id","query","results_count","date"
315,"Clusterization",5,"2017-12-15 15:25:12.306599"
316,"Clusterization",5,"2017-12-15 15:25:32.785886"
317,"Linear programming",5,"2017-12-15 15:25:55.517843"
318,"Object detection",5,"2017-12-15 15:26:41.992357"
319,"Graph theory",5,"2017-12-15 15:27:11.651658"
320,"Graph theory",5,"2017-12-15 15:27:15.187811"
321,"Music generation",5,"2017-12-15 15:27:51.231968"
322,"Linear differential equations",5,"2017-12-15 15:28:00.246679"
323,"Linear differential equations",5,"2017-12-15 15:28:37.108315"
324,"Numerical analysis",5,"2017-12-15 15:29:01.175961"
325,"Numerical analysis",5,"2017-12-15 15:29:02.711363"
326,"Statistics",5,"2017-12-15 15:30:39.476236"
327,"Numerical analysis",5,"2017-12-15 15:31:15.688417"
328,"Linear programming",5,"2017-12-15 15:31:16.75026"
329,"Object detection",5,"2017-12-15 15:31:54.422926"
330,"Music generation",5,"2017-12-15 15:32:51.333141"
331,"Statistics",5,"2017-12-15 15:33:00.793234"
332,"Linear programming",5,"2017-12-15 15:33:43.229111"
333,"Object detection",5,"2017-12-15 15:37:01.948656"
334,"Music detection",5,"2017-12-15 15:38:12.087635"
335,"Music detection",5,"2017-12-15 15:40:14.458958"
336,"Music generation",5,"2017-12-15 15:40:25.213943"
337,"gradient descent",5,"2017-12-15 15:44:39.168528"
338,"Music generation",5,"2017-12-15 15:51:31.718765"
339,"Fuck my ass",5,"2017-12-15 15:58:29.648325"
340,"Fuck my ass please",5,"2017-12-15 15:59:34.145245"
341,"Fuck my ass please",5,"2017-12-15 15:59:44.384914"
342,"Music",5,"2017-12-15 15:59:54.625822"
343,"Fuck my ass",5,"2017-12-15 16:00:05.622254"
344,"Dick dick dick",5,"2017-12-15 16:00:56.086616"
345,"Piepiepie",5,"2017-12-15 16:01:55.709797"
346,"*",5,"2017-12-15 16:02:06.736867"
347,"Gradient descent",5,"2017-12-16 18:43:52.491782"
348,"Gradient descent",5,"2017-12-16 18:44:05.047194"
349,"Gradient descent",5,"2017-12-16 20:30:04.659568"
350,"Neural networks",5,"2017-12-16 20:33:49.144709"
351,"Clusterization",5,"2017-12-16 20:34:48.871727"
352,"Graph theory",5,"2017-12-16 20:36:10.973432"
353,"Linear differential equations",5,"2017-12-16 20:38:12.258389"
354,"Numerical analysis",5,"2017-12-16 20:39:15.718772"
355,"Statistics",5,"2017-12-16 20:40:21.178316"
356,"Statistics",5,"2017-12-16 20:40:22.109266"
357,"Linear programming",5,"2017-12-16 20:41:34.253087"
358,"Object detection",5,"2017-12-16 20:42:12.131208"
359,"Music generation",5,"2017-12-16 20:46:56.047297"
360,"data mining",5,"2017-12-16 21:52:32.611467"
361,"linux",5,"2017-12-16 21:52:39.575259"
362,"math",5,"2017-12-16 21:54:21.362912"
363,"biology",5,"2017-12-16 21:54:50.252518"
364,"microorganizm",5,"2017-12-16 21:54:59.381075"
365,"physics",5,"2017-12-16 21:55:10.994862"
366,"risk",5,"2017-12-16 21:58:13.101088"
367,"risk",5,"2017-12-16 21:58:56.122755"
368,"risk",5,"2017-12-16 21:58:57.176957"
369,"risk",5,"2017-12-16 21:58:58.081266"
370,"risk",5,"2017-12-16 21:58:58.985914"
